method,subject,nrmse,ssim,lpips
mmfm_unet,0006,1.6678488261717423,0.7931275054469985,0.21274029984015413
mmfm_unet,0007,0.7754024880759408,0.7962611840491923,0.24232345014554793
mmfm_unet,0009,0.6639496319497299,0.8566941047609756,0.18211977320071876
mmfm_unet,0006,1.2061402525692868,0.7966833647905741,0.19732189874982825
mmfm_unet,0007,0.7020199595284364,0.7700575300808374,0.24851406698770254
mmfm_unet,0009,0.604406778387208,0.8303354175587383,0.18609416127791886
mmfm_unet,0006,1.4517147520678848,0.7923092744412538,0.19456313325900026
mmfm_unet,0007,0.7296424190592247,0.7816701649371526,0.23772471244099055
mmfm_unet,0009,0.6150702635449844,0.8442593227403712,0.17482348199006081
mmfm_unet,0006,1.274955009325799,0.7985039790810708,0.2028324809188344
mmfm_unet,0007,0.7171372718197518,0.7714547929751963,0.2529646160010421
mmfm_unet,0009,0.6083022214070182,0.8301551724892964,0.1939798307690396
mmfm_baseline_v1,0006,1.1401421633335638,0.7844282551764223,0.21227643117477624
mmfm_baseline_v1,0007,1.1401421633335638,0.7844282551764223,0.21227643117477624
mmfm_baseline_v1,0009,1.1401421633335638,0.7844282551764223,0.21227643117477624
mmfm_finetune_randomcrop_60k,0006,1.4478480123828925,0.8049961283847884,0.2074418380487922
mmfm_finetune_randomcrop_60k,0007,1.4478480123828925,0.8049961283847884,0.2074418380487922
mmfm_finetune_randomcrop_60k,0009,1.4478480123828925,0.8049961283847884,0.2074418380487922
mmfm_unet_finetune_160k,0006,1.473114986841327,0.7401763300102885,0.25790408279595106
mmfm_unet_finetune_160k,0007,1.473114986841327,0.7401763300102885,0.25790408279595106
mmfm_unet_finetune_160k,0009,1.473114986841327,0.7401763300102885,0.25790408279595106
